場所,キャッチコピー,説明
クレマチスの丘,美術館・庭園・レストランで優雅なひとときを,富士山麓の丘陵地に美術館や庭園・レストランなどが点在する文化複合施設です。敷地内には、ベルナール・ビュフェ美術館・ヴァンジ彫刻庭園美術館といった4つのミュージアムがあり、幅広い分野の芸術と文学に触れることが可能。レストランやカフェでは、自然に囲まれて優雅なひとときを堪能できますよ。
ロックハート城,甦るヨーロッパの古城で観て、食べて、体験できる,10万平米の敷地内には、石造りの教会やショップ・レストランが中世の街並みを再現。ドラマや映画のロケ地としても人気で、多数の作品ロケが行われています。プリンセス体験や愛犬との撮影、天然石ブレスレット・スノードーム作りなどを体験可能です。
御殿場プレミアム・アウトレット,富士山を望む広大なアウトレットモール,静岡県御殿場市にある、日本最大規模のアウトレットモール。富士山が見える広大な敷地はウエストゾーンとイーストゾーンに分かれており、国内外の有名ブランドのショップやレストランなど、約210店舗の豊富なラインナップがそろっています。首都圏の主要ターミナル駅から直行バスが運行しており、アクセスも便利です。
なばなの里,エリアごとにさまざまな植物を鑑賞＆購入,三重県桑名市にある、花と緑と食のテーマパークです。エリアごとにさまざまな植物を鑑賞でき、隣接の花市場では購入も可能。そのほかにも特産品を扱うショップやパン＆ケーキ工房があり、ビール園では原料から仕込みまでドイツの味にこだわった地ビールを堪能できます。
びわ湖バレイ,夏はアクティビティと琵琶湖の絶景、冬はスキーリゾート,琵琶湖をパノラマで臨む山頂には、大人から子供まで楽しめるアクティビティのほか、眼下に琵琶湖を見下ろし自然を満喫できる高原エリアが広がります。落ち着いた雰囲気のカフェやレストランを備えたびわ湖テラスは、リゾート気分が楽しめるスポット。冬は本格的なスキーリゾートとして営業しています。
草津温泉,"毎分32,300Lの熱湯が湧き出る湯畑","草津温泉は恋の病以外なら、どんな病気でも治るといわれる温泉です。もうもうと湯煙をあげる湯畑は、毎分32,300Lの熱湯が1年中湧き出ています。湯もみと湯もみ踊りが実演される熱の湯など、湯の町ならではの見所が豊富です。"
アドベンチャーワールド,動物と触れ合えるテーマパーク,"ジャイアントパンダをはじめとした、140種・1,400頭の動物がいる、アドベンチャーワールド。イルカショーを見られるマリンワールドや、放し飼いの動物を見物できるサファリワールド・観覧車があるプレイゾーンもあり、1日では回り切れないほど充実しています。ポニー・イルカ・小動物と触れ合うことも可能ですよ。"
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
梅田スカイビル・空中庭園展望台,地上40階から大阪の景色を一望,地上173mの高さから、大阪の街並みが360度楽しめます。晴れた日には、遠くの淡路島まで見えることも。ハート型の南京鍵やハートロックを吊り下げられる誓いのフェンスのほか、恋愛成就にご利益があるとされる空中庭園大明神など、デートにうってつけな場所も盛りだくさんです。
レインボーライン山頂公園,三方五湖を望む大パノラマスポット,三方五湖の大パノラマが楽しめる、レインボーライン上にある山頂公園です。おしゃれな5か所のテラスからの絶景や、名物のカラフルなレインボー傘など、写真映えスポットが満載。恋人の聖地「幸せの鐘」もあり、カップルや夫婦で訪れるのもおすすめです。
川越一番街商店街,情緒ある小江戸の街並みを気軽に楽しめる,現代の小江戸と呼ばれる、情緒ある街並みが広がる商店街。蔵造りの景観や、川越ならではの食べ歩き・ショッピングなどを楽しめます。都心から約1時間とアクセスもよく、気軽にタイムスリップ気分を味わえるスポットです。
あわじ花さじき,花畑や展望台からの絶景など、美しい風景に出会える場所,広大な花畑には随所に四季折々の花が咲き乱れ、ゆっくり散策すれば時間が経つのを忘れてしまいそうです。園内の小高い展望台は、明石海峡や大阪湾までが目に飛び込んでくる絶好のビューポイント。それ以外にも、たくさんの美しい風景に出会える場所で溢れています。
桜井二見ヶ浦,美しい夕日と夫婦岩が楽しめる景勝地,夕日の名所として名高い、玄界灘の景勝地。海岸から約150ｍ沖にはご神体の夫婦岩が浮かび、夏至の頃には二つの岩の間に沈む夕陽を見ることができます。周辺には多数のレストランやカフェなどがあり、四季を問わず楽しめるスポットです。
ハウステンボス,アクティブからロマンチックまで楽しめる,ヨーロッパの街並みを再現したハウステンボスは、花・光・ゲーム・音楽とショー・健康と美・ロボットの6つのテーマから成り立っています。夜景を堪能できる光と噴水の運河クルーズや、白い観覧車も見逃せません。最先端のITテクノロジーを使ったロボットホテル「変なホテル」に宿泊するのも楽しいですよ。
うさぎ平テラス,白馬の絶景と信州の味覚が楽しめる,"八方ゴンドラリフトのうさぎ平駅に併設。白馬村や周辺の山々を見渡す標高1,400mの立地に、レストランや売店などを備えた施設です。カフェテリアをはじめ、イタリアンやラーメンなど、信州の味覚を活かした料理を提供する飲食店がそろい、白馬の絶景と共に食事を楽しめます。"
GINZA SIX,ラグジュアリーブランドとグルメが集まるハイエンドなスポット,ワールドクラスのラグジュアリーブランドと注目のグルメが集まる、銀座エリア最大の商業施設。地上13階・地下6階からなる建物に、約240店舗を超えるブランドが集結しています。館内中央の吹き抜けは、アーティストたちのインスタレーションが展示された空間です。
横浜中華街,日本最大級！露店から高級中華まで幅広いグルメを楽しめる,19世紀中頃から形成が始まった日本最大級の中華街で、500平方mの面積に中華料理店や雑貨店が並びます。ワンコインで食べ歩きできる露店から高級中華料理店まで、幅広いラインナップが魅力。メインストリートからあちこちに露地が枝分かれし、迷路に迷い込んだようなワクワク感を味わえますよ。
山中湖 花の都公園,富士山のふもとにある、広大なお花畑,"家族でも、カップルでも、1人でも楽しめる富士山のふもとにあるお花畑。標高1,000mの高原にある30万平方メートルの敷地を、四季折々の花々で埋め尽くします。全天候型温室フローラルドーム「ふらら」でも、1年を通じて色とりどりのうつくしい花を楽しむことが可能です。"
渋温泉,ノスタルジックな風情が漂う温泉街,大正から昭和初期にかけて増改築を重ねてきた宿が連なる、渋温泉。格子窓や細い路地といったノスタルジックな風情が漂い、成分の異なるさまざまな源泉を堪能できるのもここならではです。地獄谷野猿公苑では、寒さが厳しい冬の間、温泉に気持ちよさそうにつかるサルの姿も楽しめます。
新潟市水族館 マリンピア日本海,さまざまな生き物に出会える、日本海の水族館,地域性の高いものからエキゾチックなものまで、多様な分類群の水族約600種3万点を擁する総合水族館。大水槽の底を通るマリントンネルからの眺めは、迫力満点です。イルカショーも天候にかかわらず毎日開催しています。
富岩運河環水公園,四季のイベントも楽しい、富山の親水公園,富山の自然と富岩運河の歴史を活かした、親水文化公園です。公園のシンボル・天門橋からの景色や、子どもたちに人気の噴水広場のほか、多くの乗船者で賑わう富岩水上ラインのクルーズなどを楽しむことが可能。花火やイルミネー ション装飾といった、四季折々のイベントも実施されています。
金沢21世紀美術館,無料で入場可能な交流ゾーンが魅力,誰もがいつでも立ち寄れて、さまざまな出会いの場になるのがコンセプトの現代アート美術館。無料で入場できる交流ゾーンが充実しています。レアンドロのプールをはじめ、実際に見て・触れて・感じることができる作品が多いので、公園に遊びに来たような感覚で楽しめる点が魅力です。
東尋坊,勇壮さ・壮絶さを目の当たりにできる天然記念物,荒々しい岩肌の柱状節理が延々と1kmに渡って続く東尋坊は、国の名勝・天然記念物に指定されています。なかでも岸壁の高さが20m以上に及ぶ大地の断崖は勇壮というより壮絶で、日本海の荒波が打ち寄せる姿は恐ろしいほどの迫力。遊覧船では、ライオン岩・ろうそく岩など自然の造形を楽しめます。
名古屋港水族館,約500種類もの生き物を観察できる,施設を北館と南館の2つにわけ、約500種・5万点の生き物を展示しています。巨大なプールで行われるイルカパフォーマンスや、黒潮大水槽内のマイワシトルネードなどイベントも豊富。ダイバーやペンギン飼育員による解説タイムや、フィーディングタイムも用意しています。
嵐山,絶景スポットに、食べ歩き・ショッピングも,辺り一面緑一色の「竹林の小径」や、360度どこから見ても美しい「渡月橋」のほか、龍の襖絵がある「天龍寺」など、美しい絶景スポットが盛りだくさん。トロッコ列車や川下り、人力車などリゾート体験も楽しむこともできます。お食事処やスイーツ、食べ歩きにショッピングと、見どころ満載です。
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
アドベンチャーワールド,ツアーやアトラクション、サービスが充実したテーマパーク,アドベンチャーワールドは、動物園・水族館・遊園地がそろったテーマパークです。動物たちのライブ観覧や直接のふれあい体験など、ツアー・アトラクションも充実しています。ベビーカー・車イスの貸し出しも行っており、事前に予約をすれば、ペットを預けることもできますよ。
角島大橋,コバルトブルーの美しい海に伸びるフォトジェニックな橋,本州の下関と抜けるような空とコバルトブルーの海に浮かぶ角島とを結ぶ絶景の橋です。本州側から見ると橋の先に角島とこぶりな鳩島が見えて、色彩や構図がフォトジェニックなポイント。全長1780mで、通行無料の橋としては日本屈指の長さを誇ります。
弘前公園,歴史ある城と、自然を満喫しながら歩く,天守をはじめ城門や、櫓といった藩政時代の遺構が残っている、青森県弘前市の中心部にある公園です。日本最古のソメイヨシノや桜に囲まれた濠など、県内屈指の桜の名所としても有名。植物園・市立博物館・市民会館などさまざまな施設を楽しむこともできます。
奥入瀬渓流,木々のトンネルと川のせせらぎに癒やされる、新緑・紅葉の名所,十和田八幡平国立公園内にあり、十和田湖畔・子ノ口から焼山までの約14kmにわたる景勝地です。四季折々に美しい自然の姿が見られ、とくに新緑・紅葉の名所として知られています。渓流沿いには車道と遊歩道が整備されており、気軽にアクセスできるのもうれしいポイントです。
あしかがフラワーパーク,栃木県天然記念物にも指定。四季折々の花の楽園を堪能できる,花や木を通してその季節感あふれる庭を園内につくりこんでいる、あしかがフラワーパーク。大藤4本と80mにおよぶ白藤のトンネルは、栃木県天然記念物に指定されています。4月中旬〜 5月中旬に開催される、ふじのはな物語・大藤まつりや、10月下旬より開催されるイルミネーションも魅力です。
上高地,美しい新緑の中を気持ちよく散策,自然を満喫したいなら、日本屈指の山岳景勝地である上高地を訪れる旅もおすすめです。軽い散策・トレッキングから本格的な登山までさまざまなコースが用意されているので、目的に合わせて選べるのも魅力です。キャンプや外来入浴・イベントも楽しめますよ。
立山黒部アルペンルート,雲上に広がる立山黒部の大自然を満喫,"立山黒部アルペンルートは、標高3,000ｍ級の峰々が連なる富山県と長野県を結ぶ世界有数の山岳観光ルートです。高さ20mに迫る巨大な雪の大谷は、6月下旬頃まで楽しめます。ロープウェイでは、大きな窓から360度広がる景色を眺めることができますよ。"
千里浜なぎさドライブウェイ,日本で唯一、砂浜を思う存分ドライブできるスポット,日本で唯一、波打ち際を車で走れる全長8kmの砂浜です。4WD車でなくても走行でき、晴れた日には真っ青な水平線に沿って爽快なドライブを楽しむことができるのも魅力。夕方は水平線に沈む夕陽と、真っ赤に染まる空と海のコントラストがロマンティックで、夜明け前は人も少なく静かで神秘的な雰囲気です。
姫路城,歴史を感じる名城。世界遺産を目に焼き付ける,平成5年に世界文化遺産に登録された姫路城。戦火や天災を逃れて400年前から現存しており、天守や門などの保存状態が非常によいことが特徴です。シラサギが羽を広げたような外観から白鷺城とも呼ばれており、華やかで美しい白の城壁が目を引きます。
大塚国際美術館,世界的な芸術作品を原寸大で楽しめる,"館内では、6名の選定委員によって厳選された古代壁画から、世界26ヶ国、190余の美術館が所蔵する現代絵画まで至宝の西洋名画を展示しています。展示作品総数は1,000点を超え、すべて特殊技術による原寸大で再現されているのが特徴。日本にいながらにして、世界各国の美術館を体験できるでしょう。"
函館山,世界3大夜景スポット・函館山からの大パノラマを満喫,香港・ナポリと並ぶ世界3大夜景スポットで、ミシュランの旅行ガイドにも三ツ星として掲載。山麓には1時間前後のハイキングコースも整備されており、四季折々の風景を楽しみながら歩くことができます。標高334mの山頂の展望台は、雄大なパノラマや美しい夜景が楽しめるスポットとしても人気です。
中尊寺金色堂,中尊寺創建当初の姿を伝える建造物や神秘的な風景を堪能,中尊寺創建当初の姿を今の時代に伝える、唯一の建造物です。神秘的な風景や歴史の重なりを感じられる、月見坂・本堂・金色堂など見どころ満載。例年5月1～5日には、奥州藤原氏の追善法要である春の藤原まつりが開催されています。
八木山動物公園フジサキの杜,様々な哺乳類・鳥類・は虫類に出会える、東北有数の動物園,宮城県仙台市にある、約140種・500頭羽の動物を飼育する東北有数の動物園。アフリカ園では、ゾウやキリンなどを一望できるビューポイントが必見です。猛獣舎では、トラやホッキョクグマなどガラス越しに出会えて迫力満点で楽しめるでしょう。
角館武家屋敷通り,着物に着替えて、江戸時代の情景を感じながら通りを巡る,江戸時代に栄えた城下町にある武家屋敷。武家屋敷が立ち並ぶ通りは、内町と呼ばれ、現在も江戸時代末期時の屋敷割や、母屋・門・蔵の屋敷構え、枡形など武家町の特性をよく残しています。レンタル着物店でアンティークな着物に着替えて散策したり、人力車に乗って通りを巡ったりとのんびり時間を過ごせますよ。
夕日ヶ浦,美しい夕日を名所で眺め、心を癒す,京丹後市網野町の夕日ヶ浦は、その名の通り夕日の名所で、丹後を代表する美しい夕景は旅人の心を癒してくれます。太陽が夕日に変わる少し前、海面に映る黄金色の照り返しはまるで美しい鏡のようです。浜辺に沿ってのびる散策路・夕日の路にはベンチが並び、ゆっくり夕日を楽しむことができます。
鶴ヶ城,五感で楽しめる会津藩のシンボル、文化観光案内城,名だたる名将たちが治め、幕末には最後まで武士の誇りを貫き通した会津藩のシンボルです。歴史的な建造物が蘇るVR体験や、歴史に秘められた物語を五感で楽しめて、まるで時空を超えたような体験ができます。最上階では周辺地域を一望できる展望台を満喫できるでしょう。
伊江島,島内ならではのアクティビティやグルメを堪能しよう,ダイビングやビーチサイドホースパーク、酪農体験などを楽しめる伊江島。島内には寿司割烹店・カフェ・バーベキューといったグルメも充実しています。民宿・ホテルが多く点在しているので、宿泊にも適していますよ。
小岩井農場の一本桜,明治40年代に植えられた、小岩井農場の大地に根を張る一本桜,雄大な岩手山を背景に小岩井農場の緑の大地に立つ一本桜。約100年前の明治40年代に植えられたといわれるエドヒガンで、この場所が放牧地だった頃に夏の日差しから牛を守る・日陰樹として利用されました。桜の開花期には残雪の岩手山とのコントラストが楽しめますが、夏から秋、冬へと変化する風景も美しいです。
奥四万湖,色が変わる神秘的な四万ブルーを眺めながら巡る,四万温泉街の北部にある、深い森に囲まれたダム湖です。時期や天候によって湖の色が変わり、四万ブルーと呼ばれる神秘的な湖面が大きな魅力。湖の周りは一方通行で車で一周でき、1周約4kmの湖畔はハイキングにもおすすめです。
羊山公園,芝桜のふわふわの花じゅうたんが魅力。40万株以上が咲き誇る,"羊山公園の広大な敷地を埋めつくす、芝桜のふわふわの花じゅうたんが魅力です。植栽面積約17,600ｍ2に、10品種・40万株以上が咲き誇ります。園内には300台の有料駐車場があるので、車やバイクで訪れられますよ。"
三峯神社,埼玉県秩父市の由緒ある神社。さまざまな年中行事に参加できる,埼玉県秩父市にある三峯神社は、日本武尊・伊弉諾尊・伊弉册尊にまつわる由緒の古い神社です。年間を通して多様な行事が行われており、5月には奥宮山開祭が開催されています。神社の歴史や信仰に興味のある人は、秩父宮家の御下賜品を見られる三峰山博物館を訪れてみてはいかがでしょうか。
河内藤園,色とりどりの藤の花がつくるトンネルと大藤棚,福岡県北九州市にある河内藤園は、22種類もの藤の花が植樹されている藤の名所。4月下旬から5月中旬の時期には、藤の花が咲き乱れ、圧巻のボリュームで来場者を迎えてくれます。藤の花をアーチ状にはわせた藤の花トンネルはまさに絶景ですよ。
横浜みなとみらい21,横浜市の主要地区。都市型遊園地やショッピングセンターを満喫,かつて造船所や鉄道用地で二分されていた横浜の都心部を一体化し、オフィス・商業・文化・アミューズメント・住宅などが多様な機能が集積した地区。横浜美術館・ランドマークタワー・パシフィコ横浜・クイーンズスクエアなど豪華な施設がそろっています。多くの人が行き交う都市型観光地として、活気に満ちあふれています。
五稜郭跡,国の特別史跡に指定された、道南有数のサクラの名所,1864年に洋式城郭をモデルとして築造された城郭が五稜郭です。五稜郭公園として一般開放されるようになった1914年以降は、春に約1500本のソメイヨシノなどが咲き誇る道南有数のサクラの名所としても人気の観光地。1952年に国の特別史跡に指定されています。
館林市（こいのぼりの里まつり）,"約4,000匹のこいのぼりが風に吹かれる壮観な眺めを体験","毎年3月下旬～5月上旬に行われる、こいのぼりの里まつり。鶴生田川・近藤沼・茂林寺川・多々良沼の市内4か所に、約4,000匹のこいのぼりが春風に吹かれ水面を揺らします。平成17年5月には、5,283匹の掲揚数で世界記録に認定されていますよ。"
彌彦神社,年間四百回を超える祭典が行われる北越鎮護の名社,越後開拓の祖神・伊夜日子大神にゆかりがある、新潟県西蒲原郡の神社です。年間四百回を超える祭典をはじめ、御創建以来二千四百年余の悠久の歴史に培われた数多くの神事が古儀に則して執り行われ、四季折々の行事が訪れる人を和ませます。境内では御札・御守・御朱印の販売もされていますよ。
こいのぼりの川渡し,こいのぼりの川渡し発祥の地で、500匹を超える鯉のぼりが泳ぐ,こいのぼりの川渡し発祥の地。こどもたちの望みをかなえてやりたいという気持ちで昭和49年に始まり、現在は500匹を超える鯉のぼりが四万十川上空を泳いでいます。毎年4月中旬～5月中旬に行われ、こいのぼり公園ではイベントなども開催されていますよ。
杖立温泉,自慢の温泉や、季節を告げる四季折々の催しを楽しめる,杖立温泉の温水はおよそ98度で、その高温の源泉が自噴している日本でも有数の良質の温泉が自慢です。杖立温泉には18の宿があり、どのお宿・ホテルも多種多様の個性があります。毎年 4月1日〜5月6日には、杖立 鯉のぼり祭りが開催され、杖立の町の真ん中をなす杖立川を彩る大量の鯉のぼりを楽しめますよ。
福井県立恐竜博物館,50体の恐竜骨格や大型復元ジオラマ・映像などが魅力,恐竜化石の一大産地である福井県勝山市に建てられた、恐竜を中心とする地質・古生物学博物館です。館内の展示室は、恐竜の世界・地球の科学・生命の歴史の3つのゾーンから構成。50体の恐竜骨格をはじめとした千数百の標本の数々や、大型復元ジオラマ・映像などを見られますよ。
富士サファリパーク,車に乗ったまま猛獣たちのいるサファリゾーンを楽しめる,1980年に開園された、静岡県裾野市にある日本最大級のサファリ形式の動物園。富士山の麓に広がる大自然のなか、60種・約900頭の動物たちがのびのび暮らしています。マイカーや園内周遊バスに乗って、ライオン・チーター・ゾウ・キリンといった野生動物たちを間近で観察することが可能です。
秋吉台,日本最大級のカルスト台地。観光スポットやグルメが充実,美祢市の中・東部に広がる日本最大級のカルスト台地です。日本屈指の大鍾乳洞・秋芳洞や名水百選・別府弁天池などの観光スポット、セグウェイツアーをはじめとしたアクティビティが魅力。周囲にはおいしい食事を味わえる食堂・レストランも充実していますよ。
古い町並（国選定重要伝統的建造物群保存地区）,古風な城下町を散策できる、高山の通な観光スポット,城下町の中心・商人町として発展した高山の上町・下町の三筋を古い町並と呼んでいます。上町には、駄菓子屋さんや伝統工芸のお店や、名物のみたらしだんごのお店などが並び、観光客で賑わっていますよ。菓子・餅屋・骨董屋・農機具・畳・文房具・郵便局・料理屋など昔ながらの町並みで、高山の通な観光スポットです。
小豆島,壷井栄の小説「二十四の瞳」の舞台ともなった島,瀬戸内海に浮かぶ、オリーブの栽培が盛んな島です。壷井栄の小説二十四の瞳の舞台ともなった島で、二十四の瞳映画村やオリーブ公園、日本の棚田百選にも選ばれた中山棚田など見どころ満載。瀬戸内の人気観光スポットになっています。
東山動植物園,"約450種の動物たちと約7,000種の植物に出会える","広大な敷地にある動植物園。動物園ではコアラやキリンなどの人気の動物のほか、大きなゾウから小さなメダカまで約450種の動物たちに出会えます。植物園では約7,000種もの植物を保有しているほか、国指定重要文化財の温室や、世界遺産にもなった岐阜県の白川郷から移築した、合掌造りの家などがありますよ。"
直島,大きな赤いかぼちゃが出迎える、アートと生活が共存する島,島の南半分を現代美術観光エリアとして発展を続ける、瀬戸内海に浮かぶアートの島です。フェリーを降りると、世界的アーティストである草間彌生氏の大きな赤いかぼちゃがお出迎え。地中美術館・李禹煥美術館・ベネッセハウス ミュージアムなどもあり、よりアートを楽しむことができます。
東大寺,圧巻のスケールをもつ奈良髄一の名所,奈良市にある東大寺の仏堂で、日本の国宝です。本尊であり奈良の大仏様として知られる盧舎那仏坐像を安置するために創建された、境内でも最大の建築物。盧舎那仏像は高さ約14.98mの銅造りで、腹部や脚部、台座を中心に造立当時の部分が残っています。
あわじ花さじき,花畑や展望台からの絶景など、美しい風景に出会える場所,広大な花畑には随所に四季折々の花が咲き乱れ、ゆっくり散策すれば時間が経つのを忘れてしまいそうです。園内の小高い展望台は、明石海峡や大阪湾までが目に飛び込んでくる絶好のビューポイント。それ以外にも、たくさんの美しい風景に出会える場所で溢れています。
鳥取砂丘 砂の美術館,一期一会の砂像の芸術で世界旅行を,砂像彫刻家兼プロデューサーとして国内外で活躍している茶圓勝彦氏が総合プロデュースを務め、毎年海外各国から砂像彫刻家を招き、世界最高レベルの砂像を展示。砂で世界旅行をコンセプトとして、定期的にテーマを変えて展示しています。 永遠に残らないがゆえの美しさが、砂像のもつ大きな魅力ですよ。
出雲大社,日本で最も古い神社建築の形式である大社造りの神社,伊勢神宮に並ぶ古社で、大國さまとして親しまれる大国主大神様を奉られています。縁結びの神・福の神として親しまれている神社です。1744年に建てられた本殿は、日本で最も古い神社建築の形式である大社造りで国宝に指定されています。
倉敷美観地区,歴史とアートが薫る美しい白壁の町並み,倉敷川河畔を中心とした白壁の屋敷が立ち並ぶ一帯と、鶴形山南側の山すそにカーブを描いて延びる往来は、重要伝統的建造物群保存地区。柳が揺れる風情あふれる町並みが広がっています。川沿いの柳と白壁が映えるアートなスポットです。
特別名勝 栗林公園,日本式の南庭と明治洋風の北庭が愉しめる美しい公園,桜・菖蒲・萩・梅と四季折々の花の名所が点在した美しい公園。紫雲山を借景にした広大な回遊式日本庭園である日本式の南庭と、開放的な明治洋風の北庭に分かれています。四方正面の珍しい茶室掬月亭や、南湖に架かる偃月橋からの眺めは絶景です。
瀬戸内しまなみ海道,車で自転車で、絶景の中を走り抜ける,広島県尾道市と愛媛県今治市を結ぶ全長約60kmの自動車専用道路です。瀬戸内海に浮かぶ芸予諸島の島々を橋で結んでいます。新尾道大橋以外の各橋には、原動機付き自転車道及び自転車・歩行者専用の道路が整備されていて、眼下に多島美を眺めながらサイクリングも楽しめますよ。
稲佐山,世界新三大夜景に輝いたロマンティックな夜景を堪能,"長崎市のランドマーク的存在で、夜景鑑賞で賑わう人気のフォトジェニックスポットです。鶴の港と称される長崎港を中心に山々に囲まれたすり鉢状の地形が独自の立体的な夜景を作り出し、1,000万ドルの夜景として知られています。晴れた日の昼間には長崎市街地や、雲仙・天草・五島列島まで見渡せますよ。"
高千穂峡,日本の滝百選に選定された「真名井の滝」がシンボル,西臼杵郡高千穂町三田井を流れる五ヶ瀬川の両岸に切り立つ峡谷です。大地に深く刻まれた柱状節理の峡谷内には「日本の滝百選」に選定されている名瀑「真名井の滝」があり、高千穂峡のシンボルとなっています。貸ボートもあり、ボートから見上げる景観は見ものです。
